R,G,B
0,0,0
69,66,62
72,66,66
73,72,63
77,73,67
78,74,73
79,78,74
80,81,72
86,79,73
86,82,70
87,81,80
86,84,81
94,88,84
90,90,82
0,89,169
96,89,73
97,89,79
93,90,93
96,94,80
96,94,91
99,96,89
109,94,93
108,101,84
199,0,119
105,103,102
110,103,97
110,107,96
219,0,0
118,112,90
114,113,109
112,113,119
127,116,102
125,117,113
124,123,104
121,123,160
126,126,127
128,126,119
137,127,99
139,132,113
180,117,154
144,134,136
0,159,0
192,114,149
144,138,129
202,113,120
204,112,146
145,142,114
141,142,139
138,142,149
145,145,127
216,112,145
163,147,128
212,121,159
204,126,164
183,136,175
242,109,124
234,113,146
241,113,132
160,155,124
231,119,155
158,154,152
225,124,161
151,157,155
144,157,173
189,150,101
243,120,128
161,158,146
129,169,117
172,161,120
209,140,175
243,125,140
244,126,162
166,165,141
245,130,131
130,165,235
226,139,174
160,166,172
171,171,132
169,169,164
139,172,213
243,139,173
209,157,189
219,161,106
248,143,140
145,173,232
183,173,140
185,169,179
248,145,155
134,177,245
202,169,142
177,180,165
210,174,109
199,169,202
176,180,180
246,156,154
191,180,161
246,155,184
153,193,127
183,184,153
185,182,174
141,184,247
194,183,139
250,161,141
227,166,193
176,187,196
169,189,209
152,189,246
206,185,150
190,191,147
233,178,111
187,191,187
247,169,195
248,173,160
249,177,109
155,197,249
201,196,142
199,197,166
169,197,245
193,196,199
200,197,183
230,190,153
224,188,208
203,196,217
200,200,193
251,185,152
225,196,151
213,200,160
248,184,208
198,206,168
250,188,168
228,198,166
246,196,113
197,210,158
174,207,249
224,196,228
194,209,216
211,209,161
210,208,196
209,204,237
204,210,194
224,206,178
229,208,155
249,195,213
210,214,151
207,211,207
176,215,245
193,213,230
248,204,157
210,213,215
214,214,196
215,215,181
246,203,191
251,205,173
248,201,228
216,215,203
231,213,170
227,216,158
199,216,248
212,220,176
218,221,165
250,208,217
233,213,239
223,222,176
228,217,228
251,210,229
215,220,246
229,226,157
216,225,225
247,214,238
223,224,219
228,220,244
250,221,159
251,219,175
211,227,236
204,228,251
252,222,170
251,222,189
206,232,223
234,229,178
249,221,218
251,219,231
215,229,250
251,219,237
202,233,252
240,223,243
207,234,236
210,233,252
227,229,248
252,228,172
234,234,174
252,228,186
251,228,207
252,230,182
252,232,165
218,234,251
209,237,252
241,234,199
239,230,247
251,227,242
229,234,237
215,237,252
251,228,236
226,241,189
232,236,230
226,242,170
252,234,178
226,242,181
227,236,251
219,241,224
223,241,214
237,241,169
246,234,224
248,233,235
222,239,252
216,241,252
252,238,174
221,242,237
230,242,200
252,237,188
237,236,249
251,232,245
252,239,166
252,239,186
252,240,181
222,243,252
217,244,252
231,241,251
225,242,252
227,243,250
250,238,246
239,246,192
239,248,182
252,245,177
225,247,252
251,245,196
252,246,185
251,246,191
232,248,252
237,249,226
235,249,238
230,250,252
251,251,166
252,252,172
252,252,178
233,252,251
252,252,182
252,252,187
252,252,193
252,252,199
252,252,205
252,252,209
251,252,228
252,252,214
249,252,237
252,252,221
255,254,254
